node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
UCwjcghzQ27Z_eeJgVv0D9Bw,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,6.377732542840632e-20,-3.1021582585762085e-20,0,1,1,23
UCxSiJTcrpcN-cTQN6umpZ6g,0.45454545454545453,0.0,0.0,0.0006011060351045924,0.0003942573364011658,0.0,0.0,4.8227830972121434e-20,5,0,1,24
UCwOOIXnZwBYbfG2_ZZ0VaYA,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,3.0470362700099286e-20,-3.6638832577779266e-20,0,1,1,24
UCgcM-96SNZoaxbHv3_9FnUQ,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,3.0470362700099286e-20,-2.9431364078781215e-19,0,1,1,24
UCohB28Buv6Lx4pq1ZsjpBNw,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,3.0470362700099286e-20,-1.6786621595989722e-20,0,1,1,24
UCfFXM3Q-uVoGSa9q0jvoG3w,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,3.0470362700099286e-20,-7.083256153590973e-20,0,1,1,24
UCITicpdSHgZcEuG9fDGRvGg,0.18181818181818182,0.0,0.0,0.0002704977157970666,0.00017115532690912942,0.0,0.0,-2.015419397418496e-20,2,0,1,25
UCuAaRjUeHVBbIC_cT9L1ULw,0.09090909090909091,0.0,0.0,0.00018033181053137774,0.00010741189562569042,0.0,0.0,-1.3956610306846003e-19,1,0,1,25
UCUkM8fQ0spNqECAQfzNPrGA,0.0,0.006756756756756757,0.0,0.0002704977157970666,7.554017998397095e-05,0.0,-1.0091134689988965e-19,8.777362417072157e-23,0,2,2,25
UC_D0KBhAwIkM-mp061MWwXQ,0.0,0.0033783783783783786,0.0,0.00018033181053137774,7.554017998397095e-05,0.0,-1.2733427731314746e-20,-2.6279689049836308e-20,0,1,2,25
UCntFnJlqLlH-9XwGX9QRKxg,0.45454545454545453,0.0,0.0,0.03687396675834343,0.00033688824824607076,0.0,0.0,2.5774273929247864e-17,5,0,1,26
UCR8UEbQndLiYql3FCPn1HIA,0.45454545454545453,0.0,0.0,0.02675308414961416,0.0003305139051177268,0.0,0.0,5.335882040491851e-18,5,0,1,26
UC2QCc_QU1coIEcwoErYtGEg,0.45454545454545453,0.0,0.0,0.034425177188412,0.0003198899999038203,0.0,0.0,4.1408765013243964e-13,5,0,1,26
UCpRW9GxlvuOCLr7SPTwl-2w,0.45454545454545453,0.0,0.0,0.02360374901628075,0.0003198899999038203,0.0,0.0,-1.3556144627440919e-19,5,0,1,26
UCGZ-dzXSWeEK1lfvp-4pEyg,0.45454545454545453,0.0,0.0,0.03409876984089498,0.0003198899999038203,0.0,0.0,2.5254652851920992e-17,5,0,1,26
UC9Xjq4nHCoBJF76-y_EKUHw,0.45454545454545453,0.0,0.0,0.016233519070953755,0.00076987994566881,0.0,0.0,-5.8493814042025935e-19,5,0,1,27
UCMeR-HrPVfwzR9ojssm9dXA,0.8181818181818182,0.0033783783783783786,0.0,0.016802580455942805,0.0005111202937541372,0.0,-3.6956414867651475e-19,4.431605227672454e-19,9,1,5,27
UCUdfMjM7jwdYc6hxPs7_P_Q,0.45454545454545453,0.0,0.0,0.018693877908214883,0.00040361249250833405,0.0,0.0,3.078558899817761e-19,5,0,1,27
UCNiCI3GshMLYA62zPf8PS3g,0.45454545454545453,0.0,0.0,0.014739016594717895,0.00036238562075944635,0.0,0.0,1.2359746980571176e-19,5,0,1,27
UC-bVdmvEEkzPzp66nbQm5wA,0.45454545454545453,0.0,0.0,0.01677827764173329,0.00036238562075944635,0.0,0.0,1.677562389772145e-19,5,0,1,27
UC_-pK9q8mH5o1UYFVvDtrAw,0.2727272727272727,0.0,0.0,0.03969616206496009,0.0005890575104063435,0.0,0.0,-5.9258435779691085e-19,3,0,1,28
UCymkHsmQyuhyS_0aeQqIsHg,0.45454545454545453,0.0033783783783783786,0.0,0.043231344974849165,0.0005610603117529876,0.0,-3.7439503184198515e-19,4.4512721944972104e-20,5,1,2,28
UCk-aFhW7RbDRDWqdoiCWjlQ,0.45454545454545453,0.0,0.0,0.043129416616713045,0.000414863136971773,0.0,0.0,-7.402711070904404e-20,5,0,1,28
UC60vh_DtFq5SAlGmoCcO78w,0.09090909090909091,0.0,0.0,0.03486235233577446,0.000386406381276277,0.0,0.0,-4.7179430302901133e-20,1,0,1,28
UCbu88BRC3LrXsB8O2_ap4FA,0.36363636363636365,0.0033783783783783786,0.0,0.03760280210628372,0.00036774090049454,0.0,-2.980798274225637e-20,-9.176463281226377e-20,4,1,3,28
UCDRIjKy6eZOvKtOELtTdeUA,0.45454545454545453,0.0,0.0,0.029949757827540693,0.00036238562075944635,0.0,0.0,1.6447203745345675e-18,5,0,1,29
UCPBC6oxXZA4Buc0f9flGkAw,0.45454545454545453,0.0,0.0,0.023645113810475186,0.00036238562075944635,0.0,0.0,3.7241676920720016e-20,5,0,1,29
UCdfDyLCCvLZ88nNr2RcfboA,0.45454545454545453,0.0,0.0,0.029415817283038197,0.0003432625913744147,0.0,0.0,9.366979898253703e-19,5,0,1,29
UCs3RTpe97gpyG1LVENsJvgg,0.45454545454545453,0.0,0.0,0.03047363512090875,0.0003077483939450701,0.0,0.0,2.247774142757141e-19,5,0,1,29
UCneoMjqIdJbIrAYG6YYJI4Q,0.45454545454545453,0.0,0.0,0.02996107795585953,0.0002878807118718692,0.0,0.0,1.7952468179592944e-18,5,0,1,29
UCimKsKtdEfBq5jI41hElJzA,0.18181818181818182,0.0,0.0,0.00024044241404183698,0.0002030270425508489,0.0,0.0,1.969520813323606e-19,2,0,1,30
UCSgf_K1-WkphPECuhBYRRlg,0.0,0.0033783783783783786,0.0,0.00016029494269455797,7.554017998397095e-05,0.0,1.244344029530487e-19,4.2018570740492017e-20,0,1,1,30
